tikr,name,date,open,high,low,close,trade,value,volume,positions
SR.CZC,CZCEsugar,2023-12-06 22:51,6278,6286,6277,6283,0,0,4527,468141
SR.CZC,CZCEsugar,2023-12-06 22:52,6283,6294,6282,6293,0,0,3633,467339
SR.CZC,CZCEsugar,2023-12-06 22:53,6292,6292,6283,6286,0,0,2317,467763
SR.CZC,CZCEsugar,2023-12-06 22:54,6286,6296,6286,6290,0,0,3224,467233
SR.CZC,CZCEsugar,2023-12-06 22:55,6291,6292,6289,6290,0,0,1259,467312
SR.CZC,CZCEsugar,2023-12-06 22:56,6290,6291,6275,6276,0,0,3343,466962
SR.CZC,CZCEsugar,2023-12-06 22:57,6276,6279,6274,6278,0,0,3292,467245
SR.CZC,CZCEsugar,2023-12-06 22:58,6278,6283,6278,6279,0,0,2460,466701
SR.CZC,CZCEsugar,2023-12-06 22:59,6277,6282,6274,6282,0,0,3053,466166
SR.CZC,CZCEsugar,2023-12-07 09:00,6250,6258,6205,6211,0,0,27034,464485
SR.CZC,CZCEsugar,2023-12-07 09:01,6210,6213,6204,6204,0,0,8765,464971
SR.CZC,CZCEsugar,2023-12-07 09:02,6204,6208,6196,6200,0,0,10380,465472
SR.CZC,CZCEsugar,2023-12-07 09:03,6199,6205,6196,6196,0,0,6738,465263
SR.CZC,CZCEsugar,2023-12-07 09:04,6197,6198,6184,6185,0,0,10480,466516
SR.CZC,CZCEsugar,2023-12-07 09:05,6183,6187,6159,6170,0,0,13026,468782
SR.CZC,CZCEsugar,2023-12-07 09:06,6170,6183,6170,6183,0,0,8194,468140
SR.CZC,CZCEsugar,2023-12-07 09:07,6183,6185,6177,6183,0,0,5563,468250
SR.CZC,CZCEsugar,2023-12-07 09:08,6183,6187,6179,6187,0,0,3494,468072
SR.CZC,CZCEsugar,2023-12-07 09:09,6186,6186,6176,6176,0,0,4409,468583
SR.CZC,CZCEsugar,2023-12-07 09:10,6175,6175,6164,6167,0,0,6131,469877
SR.CZC,CZCEsugar,2023-12-07 09:11,6167,6176,6167,6169,0,0,4097,470983
SR.CZC,CZCEsugar,2023-12-07 09:12,6169,6174,6165,6169,0,0,3695,471313
